"","country","continent","subcontinent","pcgdp","hdi","polstab","goveff","corrupt","law","regul","voice","polity","demo","demindx","poverty","growth","homicide","politydem"
"57","Ecuador","Americas","South America",6002.89990234375,0.711000025272369,40,37,32,18,20,40,5,"Non-Democratic",5.86999988555908,1.39999997615814,1.60000002384186,12,6
"58","Egypt","Africa","Northern Africa",3314.5,0.681999981403351,7,20,33,34,26,18,-3,"Non-Democratic",3.26999998092651,NA,1.60000002384186,NA,0
"59","El Salvador","Americas","Central America",3826.10009765625,0.662000000476837,45,49,48,30,60,46,8,"Democratic",6.53000020980835,2.20000004768372,0.699999988079071,41,8
"60","Equatorial Guinea","Africa","Middle Africa",20581.30078125,0.555999994277954,50,2,0,7,7,2,-5,"Non-Democratic",1.76999998092651,NA,2.79999995231628,19,0
"61","Eritrea","Africa","Eastern Africa",543.799987792969,0.381000012159348,20,3,23,5,0,1,-7,"Non-Democratic",2.40000009536743,NA,3.20000004768372,7,0
"62","Estonia","Europe","Northern Europe",18877.30078125,0.839999973773956,68,78,81,86,90,85,9,"Democratic",7.6100001335144,NA,-0.400000005960464,NA,9
"63","Ethiopia","Africa","Eastern Africa",505,0.435000002384186,8,36,38,33,12,13,1,"Non-Democratic",3.82999992370605,NA,2.59999990463257,12,1
"64","Faeroe Islands","Europe","Northern Europe",52830.19921875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.100000001490116,NA,NA
"65","Federated States of Micronesia","Oceania","Micronesia",3054.10009765625,0.629999995231628,89,34,53,55,18,80,NA,NA,NA,NA,0.100000001490116,5,NA
"66","Fiji","Oceania","Melanasia",4375.39990234375,0.723999977111816,46,17,43,22,31,26,-4,"Non-Democratic",3.60999989509583,NA,0.699999988079071,4,0
"67","Finland","Europe","Northern Europe",49310.19921875,0.879000008106232,97,100,98,99,99,97,10,"Democratic",9.02999973297119,NA,0.5,2,10
"68","France","Europe","Western Europe",42631,0.88400000333786,62,89,88,88,85,89,9,"Democratic",7.92000007629395,NA,0.400000005960464,1,9
"69","French Guiana","Americas","South America",NA,NA,56,81,82,84,88,86,NA,NA,NA,NA,NA,NA,NA
